ISSUANCEDATE,BONDS,SERIES,ACTUALTERMTOMATURITY,ORIGINALTERMTOMATURITY,REDEMTIONDATE,COUPON,OFFEREDQUANTITY,PURCHASEDQUANTITY,ADDITIONALPURCHASED,AVERAGEPRICE,CUTOFFPRICE,TOTALFUNDING,DEMANDEDAMOUNT,COVERRATIO,GROSSAVGYIELD,GROSSCUTOFFYIELD
11/19/2024 12:00:00 AM,ממשלתית,1184076,28,31,29/11/2052,2.8,116.2,116.2,0,67.86,67.86,78.87,116.2,1,5.19,5.19
11/19/2024 12:00:00 AM,ממשלתית,1202332,10.4,11,30/03/2035,4,150,150,0,96.5,96.5,144.75,150,1,4.75,4.75
11/19/2024 12:00:00 AM,ממשלתית,1203579,2.9,4,30/09/2027,3.75,131.2,14.6,-116.6,98.54,98.54,14.4,14.6,0.1,4.5,4.5
11/19/2024 12:00:00 AM,ממשלתית,1212893,4.8,5,31/08/2029,4.6,163.5,159.2,-4.3,100.21,100.21,159.54,159.2,1,4.6,4.6
11/19/2024 12:00:00 AM,ממשלתית צמודה,1197326,3.9,5,31/10/2028,1.1,136.5,136.5,0,101.06,101.06,137.95,136.5,1,2.04,2.04
11/19/2024 12:00:00 AM,ממשלתית צמודה,1204379,8.9,10,31/10/2033,1.6,153,149.8,-3.2,99.06,99.06,148.38,149.8,1,2.19,2.19
11/19/2024 12:00:00 AM,ממשלתית קצרה,1211838,0.8,1,31/08/2025,0,385.2,385.2,0,96.69,96.69,372.46,385.2,1,4.4,4.4
11/18/2024 12:00:00 AM,ממשלתית,1184076,28,31,29/11/2052,2.8,400,400,0,67.86,67.8,271.44,1426,3.6,5.18,5.19
11/18/2024 12:00:00 AM,ממשלתית,1202332,10.4,11,30/03/2035,4,500,500,0,96.5,96.46,482.5,2707,5.4,4.75,4.75
11/18/2024 12:00:00 AM,ממשלתית,1203579,2.9,4,30/09/2027,3.75,550,550,0,98.54,98.54,541.97,2867,5.2,4.49,4.49
11/18/2024 12:00:00 AM,ממשלתית,1212893,4.8,5,31/08/2029,4.6,550,550,0,100.21,100.18,551.16,2164,3.9,4.59,4.6
11/18/2024 12:00:00 AM,ממשלתית צמודה,1197326,4,5,31/10/2028,1.1,400,400,0,101.06,101.01,404.24,1591,4,2.04,2.05
11/18/2024 12:00:00 AM,ממשלתית צמודה,1204379,9,10,31/10/2033,1.6,500,500,0,99.06,99.01,495.3,1713,3.4,2.19,2.19
11/18/2024 12:00:00 AM,ממשלתית קצרה,1211838,0.8,1,31/08/2025,0,1500,1500,0,96.69,96.67,1450.35,3888,2.6,4.39,4.42
11/12/2024 00:00,ממשלתית,1212893,4.8,5,31/08/2029,4.6,133.4,8.5,-124.9,100.05,100.05,8.5,8.5,0.1,4.61,4.61
11/12/2024 00:00,ממשלתית צמודה,1168301,27,31,30/11/2051,0.5,140,140,0,73.8,73.8,103.32,140,1,2.33,2.33
11/12/2024 00:00,ממשלתית צמודה,1204379,9,10,31/10/2033,1.6,158,133,-25,98.88,98.88,131.51,133,0.8,2.15,2.15
11/12/2024 00:00,ממשלתית קצרה,1211838,0.8,1,31/08/2025,0,451.9,303,-148.9,96.62,96.62,292.78,303,0.7,4.39,4.39
11/11/2024 00:00,ממשלתית,1125400,17.2,30,31/01/2042,5.5,500,500,0,110.55,110.45,552.75,1506,3,4.95,4.96
11/11/2024 00:00,ממשלתית,1202332,10.4,11,30/03/2035,4,500,500,0,96.35,96.34,481.75,2348,4.7,4.76,4.76
11/11/2024 00:00,ממשלתית,1203579,2.9,4,30/09/2027,3.75,500,500,0,98.28,98.26,491.4,3128,6.3,4.56,4.57
11/11/2024 00:00,ממשלתית,1212893,4.8,5,31/08/2029,4.6,500,500,0,100.05,99.96,500.25,1840,3.7,4.61,4.63
11/11/2024 00:00,ממשלתית צמודה,1168301,27.1,31,30/11/2051,0.5,400,400,0,73.8,73.75,295.2,2285,5.7,2.33,2.33
11/11/2024 00:00,ממשלתית צמודה,1204379,9,10,31/10/2033,1.6,500,500,0,98.88,98.81,494.4,2315,4.6,2.15,2.16
11/11/2024 00:00,ממשלתית קצרה,1211838,0.8,1,31/08/2025,0,1500,1500,0,96.62,96.6,1449.3,4960,3.3,4.38,4.4
11/05/2024 00:00,ממשלתית,1184076,28.1,31,29/11/2052,2.8,140,140,0,66.62,66.62,93.27,140,1,5.29,5.29
11/05/2024 00:00,ממשלתית,1202332,10.4,11,30/03/2035,4,168,168,0,95.32,95.32,160.14,168,1,4.88,4.88
11/05/2024 00:00,ממשלתית,1203579,2.9,4,30/09/2027,3.75,114.1,57.8,-56.3,97.96,97.96,56.6,57.8,0.5,4.65,4.65
11/05/2024 00:00,ממשלתית,1212893,4.8,5,31/08/2029,4.6,192.5,135.5,-57,99.56,99.56,134.9,135.5,0.7,4.71,4.71
11/05/2024 00:00,ממשלתית צמודה,1204379,9,10,31/10/2033,1.6,132.3,117.9,-14.4,98.14,98.14,115.74,117.9,0.9,2.24,2.24
11/05/2024 00:00,ממשלתית בריבית משתנה,1205145,10.1,11,30/11/2034,4.17,192.5,189.8,-2.8,95.2,95.2,180.64,189.8,1,4.96,4.96
11/04/2024 00:00,ממשלתית,1184076,28.1,31,29/11/2052,2.8,400,400,0,66.62,66.62,266.48,1852.7,4.6,5.29,5.29
11/04/2024 00:00,ממשלתית,1202332,10.4,11,30/03/2035,4,500,500,0,95.32,95.21,476.6,1363,2.7,4.88,4.89
11/04/2024 00:00,ממשלתית,1203579,2.9,4,30/09/2027,3.75,550,550,0,97.96,97.9,538.78,1259,2.3,4.65,4.67
11/04/2024 00:00,ממשלתית,1212893,4.8,5,31/08/2029,4.6,550,550,0,99.56,99.56,547.58,1514,2.8,4.71,4.71
11/04/2024 00:00,ממשלתית צמודה,1197326,4,5,31/10/2028,1.1,400,400,0,100.48,100.41,401.92,981.9,2.5,2.05,2.07
11/04/2024 00:00,ממשלתית צמודה,1204379,9,10,31/10/2033,1.6,500,500,0,98.14,98.01,490.7,1302,2.6,2.24,2.25
11/04/2024 00:00,ממשלתית בריבית משתנה,1205145,10.1,11,30/11/2034,4.17,550,550,0,95.2,95.2,523.6,2444,4.4,4.96,4.96
10/29/2024 12:00:00 AM,ממשלתית,1184076,28.1,31,29/11/2052,2.8,117,116.9,-0.1,65.6,65.6,76.67,116.9,1,5.38,5.38
10/29/2024 12:00:00 AM,ממשלתית,1202332,10.4,11,30/03/2035,4,165,165,0,94.95,94.95,156.67,165,1,4.92,4.92
10/29/2024 12:00:00 AM,ממשלתית צמודה,1197326,4,5,31/10/2028,1.1,144.8,124.4,-20.5,100.79,100.79,125.36,124.4,0.9,2.25,2.25
10/29/2024 12:00:00 AM,ממשלתית צמודה,1204379,9,10,31/10/2033,1.6,156.1,47.6,-108.5,98.26,98.26,46.77,47.6,0.3,2.35,2.35
10/29/2024 12:00:00 AM,ממשלתית קצרה,1211838,0.8,1,31/08/2025,0,372.4,372.4,0,96.42,96.42,359.04,372.4,1,4.45,4.45
10/28/2024 12:00:00 AM,ממשלתית,1184076,28.1,31,29/11/2052,2.8,400,400,0,65.6,65.51,262.4,2277,5.7,5.38,5.39
10/28/2024 12:00:00 AM,ממשלתית,1194802,4.3,6,28/02/2029,3.75,500,500,0,98.95,98.92,494.75,2564.5,5.1,4.66,4.67
10/28/2024 12:00:00 AM,ממשלתית,1202332,10.4,11,30/03/2035,4,500,500,0,94.95,94.91,474.75,2068,4.1,4.92,4.92
10/28/2024 12:00:00 AM,ממשלתית,1203579,2.9,4,30/09/2027,3.75,500,500,0,97.95,97.92,489.75,2323.5,4.6,4.62,4.63
10/28/2024 12:00:00 AM,ממשלתית צמודה,1197326,4,5,31/10/2028,1.1,550,550,0,100.79,100.72,554.35,1173.6,2.1,2.26,2.28
10/28/2024 12:00:00 AM,ממשלתית צמודה,1204379,9,10,31/10/2033,1.6,550,550,0,98.26,98.18,540.43,1939.5,3.5,2.35,2.36
10/28/2024 12:00:00 AM,ממשלתית קצרה,1211838,0.8,1,31/08/2025,0,1250,1250,0,96.42,96.41,1205.25,4908,3.9,4.43,4.44
10/15/2024 12:00:00 AM,ממשלתית,1125400,17.3,30,31/01/2042,5.5,192.5,10,-182.5,106.25,106.25,10.63,10,0.1,5.28,5.28
10/15/2024 12:00:00 AM,ממשלתית,1194802,4.4,6,28/02/2029,3.75,148.9,80.3,-68.7,98.38,98.38,78.95,80.3,0.5,4.77,4.77
10/15/2024 12:00:00 AM,ממשלתית,1202332,10.5,11,30/03/2035,4,192.5,192.5,0,93.87,93.87,180.7,192.5,1,5.04,5.04
10/15/2024 12:00:00 AM,ממשלתית,1203579,3,4,30/09/2027,3.75,128.2,30.6,-97.6,97.63,97.63,29.88,30.6,0.2,4.68,4.68
10/15/2024 12:00:00 AM,ממשלתית צמודה,1204379,9,10,31/10/2033,1.6,174.7,2.5,-172.2,99.11,99.11,2.48,2.5,0,2.26,2.26
10/15/2024 12:00:00 AM,ממשלתית בריבית משתנה,1205145,10.1,11,30/11/2034,4.17,184,173,-11,94.66,94.66,163.76,173,0.9,5,5
10/14/2024 12:00:00 AM,ממשלתית,1125400,17.3,30,31/01/2042,5.5,550,550,0,106.25,106.23,584.38,2060,3.7,5.28,5.29
10/14/2024 12:00:00 AM,ממשלתית,1194802,4.4,6,28/02/2029,3.75,550,550,0,98.38,98.3,541.09,1462,2.7,4.77,4.79
10/14/2024 12:00:00 AM,ממשלתית,1202332,10.5,11,30/03/2035,4,550,550,0,93.87,93.84,516.29,2391,4.3,5.03,5.04
10/14/2024 12:00:00 AM,ממשלתית,1203579,3,4,30/09/2027,3.75,550,550,0,97.63,97.6,536.97,2236,4.1,4.68,4.69
10/14/2024 12:00:00 AM,ממשלתית צמודה,1197326,4,5,31/10/2028,1.1,550,550,0,102.05,101.92,561.28,1613,2.9,1.96,1.99
10/14/2024 12:00:00 AM,ממשלתית צמודה,1204379,9,10,31/10/2033,1.6,550,550,0,99.11,98.91,545.11,1109,2,2.26,2.28
10/14/2024 12:00:00 AM,ממשלתית בריבית משתנה,1205145,10.1,11,30/11/2034,4.17,550,550,0,94.66,94.63,520.63,2089,3.8,5,5
10/09/2024 00:00,ממשלתית,1194802,4.4,6,28/02/2029,3.75,159.7,156.5,-3.2,98.79,98.79,154.61,156.5,1,4.64,4.64
10/09/2024 00:00,ממשלתית,1202332,10.5,11,30/03/2035,4,192.5,75,-117.5,94.55,94.55,70.91,75,0.4,4.94,4.94
10/09/2024 00:00,ממשלתית,1203579,3,4,30/09/2027,3.75,139.7,98.8,-40.9,97.82,97.82,96.64,98.8,0.7,4.58,4.58
10/09/2024 00:00,ממשלתית צמודה,1168301,27.1,31,30/11/2051,0.5,192.5,133,-59.5,71.87,71.87,95.59,133,0.7,2.43,2.43
